timestamp_s,frame_idx,track_id,x1,y1,x2,y2,conf
15.649,469,163,1538,505,1641,641,0.6293275952339172
15.649,469,126,1642,496,1735,607,0.5656985640525818
15.682,470,158,974,504,1229,707,0.7707431316375732
15.682,470,162,419,511,699,718,0.7687810063362122
15.682,470,161,1386,528,1536,680,0.7124465703964233
15.682,470,163,1537,496,1650,639,0.570192813873291
15.682,470,126,1646,484,1744,605,0.5665622353553772
15.716,471,158,989,523,1238,706,0.8354519009590149
15.716,471,162,441,507,722,717,0.793343186378479
15.716,471,161,1397,527,1542,681,0.6560371518135071
15.716,471,163,1532,500,1659,639,0.5624099373817444
15.716,471,126,1654,493,1751,606,0.5439408421516418
15.749,472,158,1007,521,1246,706,0.8093869686126709
15.749,472,162,467,499,752,715,0.7384399771690369
15.749,472,161,1400,513,1553,674,0.6298174858093262
15.749,472,126,1655,475,1755,608,0.4952763319015503
15.749,472,163,1541,503,1660,639,0.4666495621204376
15.782,473,158,1023,524,1258,704,0.7562689185142517
15.782,473,162,490,532,769,711,0.7460933923721313
15.782,473,161,1416,526,1560,677,0.6541309952735901
15.782,473,163,1566,516,1659,639,0.44106295704841614
15.782,473,126,1668,495,1763,604,0.4397526979446411
15.816,474,158,1036,512,1280,703,0.7455016374588013
15.816,474,161,1424,520,1570,676,0.6544547080993652
15.816,474,126,1671,457,1772,605,0.594080924987793
15.816,474,162,524,535,795,708,0.589368999004364
15.816,474,163,1570,512,1663,637,0.3865109384059906
15.816,474,171,1284,505,1429,647,0.36594414710998535
15.849,475,158,1053,506,1285,701,0.8274316787719727
15.849,475,162,559,532,813,704,0.7800719738006592
15.849,475,161,1441,526,1575,673,0.6446502208709717
15.849,475,126,1679,443,1779,603,0.6324402689933777
15.849,475,163,1570,492,1680,635,0.3719589114189148
15.883,476,158,1065,500,1297,699,0.762493371963501
15.883,476,162,577,503,834,702,0.7000632286071777
15.883,476,126,1684,445,1783,603,0.5944345593452454
15.883,476,161,1444,504,1597,672,0.482256680727005
15.916,477,162,594,529,854,698,0.7971735596656799
15.916,477,158,1080,507,1309,698,0.7858895063400269
15.916,477,161,1447,499,1603,670,0.5258200168609619
15.916,477,163,1587,505,1686,634,0.39334526658058167
15.949,478,158,1093,513,1327,695,0.772911012172699
15.949,478,162,618,497,866,696,0.7321940660476685
15.949,478,161,1470,524,1605,669,0.5379104018211365
15.983,479,158,1109,506,1335,694,0.7884886264801025
15.983,479,162,641,523,886,695,0.7584202885627747
15.983,479,179,104,439,197,514,0.43520867824554443
15.983,479,126,1701,448,1797,602,0.42344900965690613
15.983,479,161,1478,520,1611,667,0.3633803427219391
16.016,480,162,664,508,907,693,0.830664873123169
16.016,480,158,1125,506,1344,691,0.7273783087730408
16.016,480,179,88,426,193,514,0.49039047956466675
16.016,480,161,1489,527,1620,666,0.47906816005706787
16.049,481,158,1137,512,1369,691,0.7127893567085266
16.049,481,179,62,448,170,515,0.6341049075126648
16.049,481,161,1499,529,1623,665,0.5859598517417908
16.049,481,162,687,501,922,691,0.562531590461731
16.049,481,126,1715,467,1867,602,0.5535106062889099
16.083,482,158,1153,513,1380,685,0.770592451095581
16.083,482,162,701,515,941,684,0.6362192630767822
16.083,482,179,61,450,155,514,0.6333522200584412
16.083,482,126,1726,475,1889,604,0.5856914520263672
16.083,482,161,1510,526,1661,661,0.4433674216270447
16.116,483,158,1163,500,1384,684,0.7397725582122803
16.116,483,162,727,512,963,685,0.7049701809883118
16.116,483,161,1519,525,1657,661,0.576765775680542
16.116,483,179,45,445,143,515,0.5693210363388062
16.116,483,126,1727,465,1842,599,0.5359600186347961
16.149,484,162,749,506,990,685,0.7773968577384949
16.149,484,158,1180,496,1390,688,0.7527267336845398
16.149,484,179,28,444,142,516,0.5219588279724121
16.149,484,161,1526,528,1647,660,0.47349971532821655
16.149,484,126,1731,463,1838,597,0.4539726674556732
16.183,485,162,772,507,999,683,0.7476323843002319
16.183,485,158,1189,496,1407,686,0.7341824173927307
16.183,485,161,1535,533,1654,659,0.5056269764900208
16.183,485,179,8,449,116,517,0.48648473620414734
16.183,485,126,1738,470,1865,596,0.43470174074172974
16.216,486,162,785,500,1009,680,0.8018757104873657
16.216,486,158,1204,491,1421,682,0.7456167936325073
16.216,486,126,1743,458,1872,596,0.49210020899772644
16.216,486,161,1544,533,1658,656,0.4391036629676819
16.250,487,162,811,486,1022,677,0.797649085521698
16.250,487,158,1219,504,1421,680,0.7487043738365173
16.250,487,187,1546,500,1737,654,0.43160974979400635
16.250,487,126,1748,462,1871,596,0.4215054214000702
16.250,487,161,1551,530,1667,654,0.4045287072658539
16.283,488,162,830,500,1039,674,0.7739271521568298
16.283,488,158,1227,485,1517,680,0.6299288868904114
16.283,488,187,1559,490,1750,653,0.4598010778427124
16.283,488,126,1760,491,1831,595,0.4252297580242157
16.283,488,171,1228,501,1427,680,0.38704365491867065
16.316,489,162,844,506,1056,671,0.8166708946228027
16.316,489,171,1236,504,1434,678,0.6630300283432007
16.316,489,187,1568,499,1747,646,0.5826511979103088
16.316,489,126,1756,470,1838,593,0.49794626235961914
16.316,489,161,1570,525,1728,653,0.4336071312427521
16.350,490,162,859,490,1073,670,0.8128332495689392
16.350,490,188,0,532,174,846,0.7258509993553162
16.350,490,171,1249,493,1457,678,0.7202589511871338
16.350,490,187,1575,499,1752,647,0.597814679145813
16.350,490,126,1765,452,1841,592,0.39152786135673523
16.383,491,171,1265,496,1477,677,0.762361466884613
16.383,491,162,878,494,1092,669,0.7486077547073364
16.383,491,188,0,505,228,836,0.7019708752632141
16.383,491,187,1582,500,1759,647,0.6427146196365356
16.383,491,126,1771,457,1848,592,0.43361780047416687
16.416,492,162,902,501,1101,666,0.8214327096939087
16.416,492,171,1283,495,1466,678,0.7917343974113464
16.416,492,188,0,516,276,829,0.7901067733764648
16.416,492,187,1590,503,1760,648,0.4682254493236542
16.416,492,126,1774,444,1914,596,0.4397847056388855
16.450,493,162,917,501,1114,665,0.8074982166290283
16.450,493,171,1291,503,1468,675,0.7387638688087463
16.450,493,126,1782,471,1859,589,0.4978541135787964
16.450,493,187,1594,500,1766,646,0.4581652581691742
16.483,494,162,933,494,1129,664,0.7593452334403992
16.483,494,171,1300,514,1475,674,0.6894207000732422
16.483,494,126,1787,476,1865,591,0.5045024752616882
16.483,494,187,1598,502,1774,647,0.45293596386909485
16.517,495,162,954,507,1144,663,0.7739503383636475
16.517,495,171,1306,507,1484,673,0.6695974469184875
16.517,495,191,407,430,499,510,0.4558057487010956
16.517,495,187,1609,496,1786,646,0.4108351469039917
16.517,495,126,1795,487,1869,590,0.38122570514678955
16.550,496,162,972,504,1156,659,0.762348473072052
16.550,496,158,1318,458,1583,674,0.5176230669021606
16.550,496,126,1797,479,1879,588,0.4684615433216095
16.550,496,187,1620,504,1786,644,0.46295538544654846
16.550,496,191,396,424,508,510,0.43121132254600525
16.550,496,192,1797,465,1905,588,0.408816933631897
16.583,497,162,987,490,1170,659,0.7748652696609497
16.583,497,126,1802,471,1887,587,0.5942445397377014
16.583,497,158,1331,488,1586,671,0.5447352528572083
16.583,497,187,1624,495,1788,631,0.3556887209415436
16.617,498,188,89,460,538,825,0.8642414808273315
16.617,498,162,1005,503,1182,653,0.8043067455291748
16.617,498,126,1807,469,1897,586,0.5945488214492798
16.617,498,171,1349,506,1520,666,0.5773000717163086
16.617,498,187,1630,508,1786,637,0.4875730276107788
16.617,498,193,1629,517,1746,639,0.41690900921821594
16.650,499,188,144,513,577,818,0.8919534087181091
16.650,499,162,1017,506,1194,654,0.8201127648353577
16.650,499,126,1815,467,1905,587,0.5182280540466309
16.650,499,171,1350,506,1521,665,0.5013824105262756
16.650,499,187,1626,495,1797,635,0.38631048798561096
16.683,500,188,201,506,615,812,0.8577743172645569
16.683,500,162,1030,510,1211,652,0.8363937139511108
16.683,500,171,1373,517,1523,664,0.7045482397079468
16.683,500,126,1822,463,1917,588,0.6982346773147583
16.683,500,187,1636,497,1807,633,0.4975050687789917
16.717,501,162,1047,510,1224,649,0.8356515765190125
16.717,501,188,245,526,649,806,0.8333733677864075
16.717,501,126,1828,456,1919,588,0.7175342440605164
16.717,501,171,1382,524,1530,663,0.666772186756134
16.717,501,193,1646,509,1763,636,0.47947627305984497
16.750,502,188,297,517,682,799,0.8299787640571594
16.750,502,162,1064,505,1239,651,0.7342276573181152
16.750,502,126,1834,452,1919,587,0.6706563234329224
16.750,502,158,1396,493,1577,661,0.5129993557929993
16.750,502,171,1397,531,1541,662,0.4892682433128357
16.750,502,187,1630,485,1813,635,0.4584527015686035
